,abbr,episode,title,stardate,original_airdate,production_number
0,TOS,0x01,The Cage,Unknown,1988-10-04,6149-01
1,TOS,1x01,Where No Man Has Gone Before,1312.4 - 1313.8,1966-09-22,6149-02
2,TOS,1x02,The Corbomite Maneuver,1512.2 - 1514.1,1966-11-10,6149-03
3,TOS,1x03,Mudd's Women,1329.8 - 1330.1,1966-10-13,6149-04
4,TOS,1x04,The Enemy Within,1672.1 - 1673.1,1966-10-06,6149-05
5,TOS,1x05,The Man Trap,1513.1 - 1513.8,1966-09-08,6149-06
6,TOS,1x06,The Naked Time,1704.2 - 1704.4,1966-09-29,6149-07
7,TOS,1x07,Charlie X,1533.6 - 1535.8,1966-09-15,6149-08
8,TOS,1x08,Balance of Terror,1709.2 - 1709.6,1966-12-15,6149-09
9,TOS,1x09,What Are Little Girls Made Of?,2712.4,1966-10-20,6149-10
10,TOS,1x10,Dagger of the Mind,2715.1 - 2715.2,1966-11-03,6149-11
11,TOS,1x11,Miri,2713.5 - 2717.3,1966-10-27,6149-12
12,TOS,1x12,The Conscience of the King,2817.6 - 2819.8,1966-12-08,6149-13
13,TOS,1x13,The Galileo Seven,2821.5 - 2823.8,1967-01-05,6149-14
14,TOS,1x14,Court Martial,2947.3 - 2950.1,1967-02-02,6149-15
15,TOS,1x15,"The Menagerie, Part I",3012.4 - 3012.6,1966-11-17,6149-16A
16,TOS,1x16,"The Menagerie, Part II",3013.1 - 3013.2,1966-11-24,6149-16B
17,TOS,1x17,Shore Leave,3025.3 - 3025.8,1966-12-29,6149-17
18,TOS,1x18,The Squire of Gothos,2124.5 - 2126.3,1967-01-12,6149-18
19,TOS,1x19,Arena,3045.6 - 3046.2,1967-01-19,6149-19
20,TOS,1x20,The Alternative Factor,3087.6 - 3088.7,1967-03-30,6149-20
21,TOS,1x21,Tomorrow is Yesterday,3113.2 - 3114.1,1967-01-26,6149-21
22,TOS,1x22,The Return of the Archons,3156.2 - 3158.7,1967-02-09,6149-22
23,TOS,1x23,A Taste of Armageddon,3192.1 - 3193.0,1967-02-23,6149-23
24,TOS,1x24,Space Seed,3141.9 - 3143.3,1967-02-16,6149-24
25,TOS,1x25,This Side of Paradise,3417.3 - 3417.7,1967-03-02,6149-25
26,TOS,1x26,The Devil in the Dark,3196.1,1967-03-09,6149-26
27,TOS,1x27,Errand of Mercy,3198.4 - 3201.7,1967-03-23,6149-27
28,TOS,1x28,The City on the Edge of Forever,Unknown,1967-04-06,6149-28
29,TOS,1x29,Operation -- Annihilate!,3287.2 - 3289.8,1967-04-13,6149-29
30,TOS,2x01,Catspaw,3018.2,1967-10-27,60330
31,TOS,2x02,Metamorphosis,3219.8 - 3220.3,1967-11-10,60331
32,TOS,2x03,Friday's Child,3497.2 - 3499.1,1967-12-01,60332
33,TOS,2x04,Who Mourns for Adonais?,3468.1,1967-09-22,60333
34,TOS,2x05,Amok Time,3372.7,1967-09-15,60334
35,TOS,2x06,The Doomsday Machine,4202.9,1967-10-20,60335
36,TOS,2x07,Wolf in the Fold,3614.9 - 3615.4,1967-12-22,60336
37,TOS,2x08,The Changeling,3541.9,1967-09-29,60337
38,TOS,2x09,The Apple,3715.0 - 3715.6,1967-10-13,60338
39,TOS,2x10,"Mirror, Mirror",Unknown,1967-10-06,60339
40,TOS,2x11,The Deadly Years,3478.2 - 3479.4,1967-12-08,60340
41,TOS,2x12,"I, Mudd",4513.3,1967-11-03,60341
42,TOS,2x13,The Trouble with Tribbles,4523.3 - 4525.6,1967-12-29,60342
43,TOS,2x14,Bread and Circuses,4040.7 - 4041.7,1968-03-15,60343
44,TOS,2x15,Journey to Babel,3842.3 - 3843.4,1967-11-17,60344
45,TOS,2x16,A Private Little War,4211.4 - 4211.8,1968-02-02,60345
46,TOS,2x17,The Gamesters of Triskelion,3211.7 - 3259.2,1968-01-05,60346
47,TOS,2x18,Obsession,3619.2 - 3620.7,1967-12-15,60347
48,TOS,2x19,The Immunity Syndrome,4307.1 - 4309.4,1968-01-19,60348
49,TOS,2x20,A Piece of the Action,Unknown,1968-01-12,60349
50,TOS,2x21,By Any Other Name,4657.5 - 4658.9,1968-02-23,60350
51,TOS,2x22,Return to Tomorrow,4768.3 - 4770.3,1968-02-09,60351
52,TOS,2x23,Patterns of Force,Unknown,1968-02-16,60352
53,TOS,2x24,The Ultimate Computer,4729.4 - 4731.3,1968-03-08,60353
54,TOS,2x25,The Omega Glory,Unknown,1968-03-01,60354
55,TOS,2x26,Assignment: Earth,Unknown,1968-03-29,60355
56,TOS,3x01,Spectre of the Gun,4385.3,1968-10-25,60043-56
57,TOS,3x02,Elaan of Troyius,4372.5,1968-12-20,60043-57
58,TOS,3x03,The Paradise Syndrome,4842.6 - 4843.6,1968-10-04,60043-58
59,TOS,3x04,The Enterprise Incident,5027.3 - 5027.4,1968-09-27,60043-59
60,TOS,3x05,And the Children Shall Lead,5029.5,1968-10-11,60043-60
61,TOS,3x06,Spock's Brain,5431.4 - 5432.3,1968-09-20,60043-61
62,TOS,3x07,Is There in Truth No Beauty?,5630.7 - 5630.8,1968-10-18,60043-62
63,TOS,3x08,The Empath,5121.5,1968-12-06,60043-63
64,TOS,3x09,The Tholian Web,5693.2,1968-11-15,60043-64
65,TOS,3x10,For the World is Hollow and I Have Touched the Sky,5476.3 - 5476.4,1968-11-08,60043-65
66,TOS,3x11,Day of the Dove,Unknown,1968-11-01,60043-66
67,TOS,3x12,Plato's Stepchildren,5784.2 - 5784.3,1968-11-22,60043-67
68,TOS,3x13,Wink of an Eye,5710.5 - 5710.9,1968-11-29,60043-68
69,TOS,3x14,That Which Survives,Unknown,1969-01-24,60043-69
70,TOS,3x15,Let That Be Your Last Battlefield,5730.2 - 5730.7,1969-01-10,60043-70
71,TOS,3x16,Whom Gods Destroy,5718.3,1969-01-03,60043-71
72,TOS,3x17,The Mark of Gideon,5423.4 - 5423.8,1969-01-17,60043-72
73,TOS,3x18,The Lights of Zetar,5725.3 - 5725.6,1969-01-31,60043-73
74,TOS,3x19,The Cloud Minders,5818.4 - 5819.3,1969-02-28,60043-74
75,TOS,3x20,The Way to Eden,5832.3 - 5832.6,1969-02-21,60043-75
76,TOS,3x21,Requiem for Methuselah,5843.7 - 5843.8,1969-02-14,60043-76
77,TOS,3x22,The Savage Curtain,5906.4 - 5906.5,1969-03-07,60043-77
78,TOS,3x23,All Our Yesterdays,5943.7 - 5943.9,1969-03-14,60043-78
79,TOS,3x24,Turnabout Intruder,5928.5 - 5930.3,1969-06-03,60043-79
80,TAS,1x01,Beyond the Farthest Star,5221.3 - 5221.8,1973-09-08,22004
81,TAS,1x02,Yesteryear,5373.4,1973-09-15,22003
82,TAS,1x03,One of Our Planets Is Missing,5371.3 - 5372.1,1973-09-22,22007
83,TAS,1x04,The Lorelei Signal,5483.7 - 5483.9,1973-09-29,22006
84,TAS,1x05,"More Tribbles, More Troubles",5392.4,1973-10-06,22001
85,TAS,1x06,The Survivor,5143.3,1973-10-13,22005
86,TAS,1x07,The Infinite Vulcan,5554.4 -5554.8,1973-10-20,22002
87,TAS,1x08,The Magicks of Megas-Tu,1254.4,1973-10-27,22009
88,TAS,1x09,Once Upon a Planet,5591.2,1973-11-03,22017
89,TAS,1x10,Mudd's Passion,4978.5,1973-11-10,22008
90,TAS,1x11,The Terratin Incident,5577.3 - 5577.7,1973-11-17,22015
91,TAS,1x12,The Time Trap,5267.2 - 5267.6,1973-11-24,22010
92,TAS,1x13,The Ambergris Element,5499.9,1973-12-01,22013
93,TAS,1x14,The Slaver Weapon,4187.3,1973-12-15,22011
94,TAS,1x15,The Eye of the Beholder,5501.2,1974-01-05,22016
95,TAS,1x16,The Jihad,5683.1,1974-01-12,22014
96,TAS,2x01,The Pirates of Orion,6334.1 - 6335.6,1974-09-07,22020
97,TAS,2x02,Bem,7403.6,1974-09-14,22018
98,TAS,2x03,The Practical Joker,3183.3,1974-09-21,22021
99,TAS,2x04,Albatross,5275.6 - 5276.8,1974-09-28,22019
100,TAS,2x05,How Sharper Than a Serpent's Tooth,6063.4 - 6063.5,1974-10-05,22022
101,TAS,2x06,The Counter-Clock Incident,6770.1 - 6770.6,1974-10-12,22023
102,TNG,1x01/02,Encounter at Farpoint,41153.7,1987-09-28,40271-721
103,TNG,1x03,The Naked Now,41209.2,1987-10-05,40271-103
104,TNG,1x04,Code of Honor,41235.25,1987-10-12,40271-104
105,TNG,1x05,The Last Outpost,41386.4,1987-10-19,40271-107
106,TNG,1x06,Where No One Has Gone Before,41263.1,1987-10-26,40271-106
107,TNG,1x07,Lonely Among Us,41249.3,1987-11-02,40271-108
108,TNG,1x08,Justice,41255.6,1987-11-09,40271-109
109,TNG,1x09,The Battle,41723.9,1987-11-16,40271-110
110,TNG,1x10,Hide and Q,41590.5,1987-11-23,40271-111
111,TNG,1x11,Haven,41294.5,1987-11-30,40271-105
112,TNG,1x12,The Big Goodbye,41997.7,1988-01-11,40271-113
113,TNG,1x13,Datalore,41242.4,1988-01-18,40271-114
114,TNG,1x14,Angel One,41636.9,1988-01-25,40271-115
115,TNG,1x15,11001001,41365.9,1988-02-01,40271-116
116,TNG,1x16,Too Short a Season,41309.5,1988-02-08,40271-112
117,TNG,1x17,When The Bough Breaks,41509.1,1988-02-15,40271-118
118,TNG,1x18,Home Soil,41463.9,1988-02-22,40271-117
119,TNG,1x19,Coming of Age,41416.2,1988-03-14,40271-119
120,TNG,1x20,Heart of Glory,41503.7,1988-03-21,40271-120
121,TNG,1x21,The Arsenal of Freedom,41798.2,1988-04-11,40271-121
122,TNG,1x22,Symbiosis,Unknown,1988-04-18,40271-123
123,TNG,1x23,Skin of Evil,41601.3,1988-04-25,40271-122
124,TNG,1x24,We'll Always Have Paris,41697.9,1988-05-02,40271-124
125,TNG,1x25,Conspiracy,41775.5,1988-05-09,40271-125
126,TNG,1x26,The Neutral Zone,41986.0,1988-05-16,40271-126
127,TNG,2x01,The Child,42073.1,1988-11-21,40272-127
128,TNG,2x02,Where Silence Has Lease,42193.6,1988-11-28,40272-128
129,TNG,2x03,"Elementary, Dear Data",42286.3,1988-12-05,40272-129
130,TNG,2x04,The Outrageous Okona,42402.7,1988-12-12,40272-130
131,TNG,2x05,Loud As A Whisper,42477.2,1989-01-09,40272-132
132,TNG,2x06,The Schizoid Man,42437.5,1989-01-23,40272-131
133,TNG,2x07,Unnatural Selection,42494.8,1989-01-30,40272-133
134,TNG,2x08,A Matter Of Honor,42506.5,1989-02-06,40272-134
135,TNG,2x09,The Measure Of A Man,42523.7,1989-02-13,40272-135
136,TNG,2x10,The Dauphin,42568.8,1989-02-20,40272-136
137,TNG,2x11,Contagion,42609.1,1989-03-20,40272-137
138,TNG,2x12,The Royale,42625.4,1989-03-27,40272-138
139,TNG,2x13,Time Squared,42679.2,1989-04-03,40272-139
140,TNG,2x14,The Icarus Factor,42686.4,1989-04-24,40272-140
141,TNG,2x15,Pen Pals,42695.3,1989-05-01,40272-141
142,TNG,2x16,Q Who,42761.3,1989-05-08,40272-142
143,TNG,2x17,Samaritan Snare,42779.1,1989-05-15,40272-143
144,TNG,2x18,Up The Long Ladder,42823.2,1989-05-22,40272-144
145,TNG,2x19,Manhunt,42859.2,1989-06-19,40272-145
146,TNG,2x20,The Emissary,42901.3,1989-06-26,40272-146
147,TNG,2x21,Peak Performance,42923.4,1989-07-10,40272-147
148,TNG,2x22,Shades of Gray,42976.1,1989-07-17,40272-148
149,TNG,3x01,Evolution,43125.8,1989-09-25,40273-150
150,TNG,3x02,The Ensigns of Command,43133.3,1989-10-02,40273-149
151,TNG,3x03,The Survivors,43152.4,1989-10-09,40273-151
152,TNG,3x04,Who Watches The Watchers,43173.5,1989-10-16,40273-152
153,TNG,3x05,The Bonding,43198.7,1989-10-23,40273-153
154,TNG,3x06,Booby Trap,43205.6,1989-10-30,40273-154
155,TNG,3x07,The Enemy,43349.2,1989-11-06,40273-155
156,TNG,3x08,The Price,43385.6,1989-11-13,40273-156
157,TNG,3x09,The Vengeance Factor,43421.9,1989-11-20,40273-157
158,TNG,3x10,The Defector,43462.5,1990-01-01,40273-158
159,TNG,3x11,The Hunted,43489.2,1990-01-08,40273-159
160,TNG,3x12,The High Ground,43510.7,1990-01-29,40273-160
161,TNG,3x13,Deja Q,43539.1,1990-02-05,40273-161
162,TNG,3x14,A Matter of Perspective,43610.4,1990-02-12,40273-162
163,TNG,3x15,Yesterday's Enterprise,43625.2,1990-02-19,40273-163
164,TNG,3x16,The Offspring,43657.0,1990-03-12,40273-164
165,TNG,3x17,Sins of the Father,43685.2,1990-03-19,40273-165
166,TNG,3x18,Allegiance,43714.1,1990-03-26,40273-166
167,TNG,3x19,Captain's Holiday,43745.2,1990-04-02,40273-167
168,TNG,3x20,Tin Man,43779.3,1990-04-23,40273-168
169,TNG,3x21,Hollow Pursuits,43807.4,1990-04-30,40273-169
170,TNG,3x22,The Most Toys,43872.2,1990-05-07,40273-170
171,TNG,3x23,Sarek,43917.4,1990-05-14,40273-171
172,TNG,3x24,Ménage à Troi,43930.7,1990-05-28,40273-172
173,TNG,3x25,Transfigurations,43957.2,1990-06-04,40273-173
174,TNG,3x26,The Best of Both Worlds,43989.1,1990-06-18,40273-174
175,TNG,4x01,"The Best of Both Worlds, Part II",44001.4,1990-09-24,40274-175
176,TNG,4x02,Family,44012.3,1990-10-01,40274-178
177,TNG,4x03,Brothers,44085.7,1990-10-08,40274-177
178,TNG,4x04,Suddenly Human,44143.7,1990-10-15,40274-176
179,TNG,4x05,Remember Me,44161.2,1990-10-22,40274-179
180,TNG,4x06,Legacy,44215.2,1990-10-29,40274-180
181,TNG,4x07,Reunion,44246.3,1990-11-05,40274-181
182,TNG,4x08,Future Imperfect,44286.5,1990-11-12,40274-182
183,TNG,4x09,Final Mission,44307.3,1990-11-19,40274-183
184,TNG,4x10,The Loss,44356.9,1990-12-31,40274-184
185,TNG,4x11,Data's Day,44390.1,1991-01-07,40274-185
186,TNG,4x12,The Wounded,44429.6,1991-01-28,40274-186
187,TNG,4x13,Devil's Due,44474.5,1991-02-04,40274-187
188,TNG,4x14,Clues,44502.7,1991-02-11,40274-188
189,TNG,4x15,First Contact,Unknown,1991-02-18,40274-189
190,TNG,4x16,Galaxy's Child,44614.6,1991-03-11,40274-190
191,TNG,4x17,Night Terrors,44631.2,1991-03-18,40274-191
192,TNG,4x18,Identity Crisis,44664.5,1991-03-25,40274-192
193,TNG,4x19,The Nth Degree,44704.2,1991-04-01,40274-193
194,TNG,4x20,Qpid,44741.9,1991-04-22,40274-194
195,TNG,4x21,The Drumhead,44769.2,1991-04-29,40274-195
196,TNG,4x22,Half a Life,44805.3,1991-05-06,40274-196
197,TNG,4x23,The Host,44821.3,1991-05-13,40274-197
198,TNG,4x24,The Mind's Eye,44885.5,1991-05-27,40274-198
199,TNG,4x25,In Theory,44932.3,1991-06-03,40274-199
200,TNG,4x26,Redemption,44995.3,1991-06-17,40274-200
201,TNG,5x01,Redemption II,45020.4,1991-09-23,40275-201
202,TNG,5x02,Darmok,45047.2,1991-09-30,40275-202
203,TNG,5x03,Ensign Ro,45076.3,1991-10-07,40275-203
204,TNG,5x04,Silicon Avatar,45122.3,1991-10-14,40275-204
205,TNG,5x05,Disaster,45156.1,1991-10-21,40275-205
206,TNG,5x06,The Game,45208.2,1991-10-28,40275-206
207,TNG,5x07,Unification I,45233.1,1991-11-04,40275-208
208,TNG,5x08,Unification II,45245.8,1991-11-11,40275-207
209,TNG,5x09,A Matter of Time,45349.1,1991-11-18,40275-209
210,TNG,5x10,New Ground,45376.3,1992-01-06,40275-210
211,TNG,5x11,Hero Worship,45397.3,1992-01-27,40275-211
212,TNG,5x12,Violations,45429.3,1992-02-03,40275-212
213,TNG,5x13,The Masterpiece Society,45470.1,1992-02-10,40275-213
214,TNG,5x14,Conundrum,45494.2,1992-02-17,40275-214
215,TNG,5x15,Power Play,45571.2,1992-02-24,40275-215
216,TNG,5x16,Ethics,45587.3,1992-03-02,40275-216
217,TNG,5x17,The Outcast,45614.6,1992-03-16,40275-217
218,TNG,5x18,Cause and Effect,45652.1,1992-03-23,40275-218
219,TNG,5x19,The First Duty,45703.9,1992-03-30,40275-219
220,TNG,5x20,Cost of Living,45733.6,1992-04-20,40275-220
221,TNG,5x21,The Perfect Mate,45761.3,1992-04-27,40275-221
222,TNG,5x22,Imaginary Friend,45832.1,1992-05-04,40275-222
223,TNG,5x23,I Borg,45854.2,1992-05-11,40275-223
224,TNG,5x24,The Next Phase,45892.4,1992-05-18,40275-224
225,TNG,5x25,The Inner Light,45944.1,1992-06-01,40275-225
226,TNG,5x26,Time's Arrow,45959.1,1992-06-15,40275-226
227,TNG,6x01,"Time's Arrow, Part II",46001.3,1992-09-21,40276-227
228,TNG,6x02,Realm of Fear,46041.1,1992-09-28,40276-228
229,TNG,6x03,Man of the People,46071.6,1992-10-05,40276-229
230,TNG,6x04,Relics,46125.3,1992-10-12,40276-230
231,TNG,6x05,Schisms,46154.2,1992-10-19,40276-231
232,TNG,6x06,True Q,46192.3,1992-10-26,40276-232
233,TNG,6x07,Rascals,46235.7,1992-11-02,40276-233
234,TNG,6x08,A Fistful of Datas,46271.5,1992-11-07,40276-234
235,TNG,6x09,The Quality of Life,46307.2,1992-11-14,40276-235
236,TNG,6x10,"Chain of Command, Part I",46357.4,1992-12-14,40276-236
